#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     231  -23.104  -23.381   25.104   25.646   16.697    7.050    1.321   -6.606   10.675    8.382
     232  -27.104  -23.490   20.147   20.350   13.362    2.122   -5.681  -13.151   21.214   12.505
     233  -41.254   -9.444    9.133   15.282   15.749    2.681    1.721  -14.068   20.773    8.907
     234  -45.500   -9.758   16.482   20.765   18.804    6.166   -4.552  -12.487   25.381    3.306
     235  -42.520  -19.712   14.026   16.760   14.524   -1.824    0.422   -7.769   20.198    5.166
     236  -34.034  -27.359    3.475   12.287   13.564    0.173   -4.151   -6.972    8.706    8.071
     237  -34.739  -22.448    8.964   20.962   14.164    5.698   -4.271   -9.304   10.211    8.309
     238  -41.760  -16.964   21.272   11.238   15.106   14.260  -10.209   -7.460   12.851   -0.476
     239  -51.733  -24.275   26.052   -1.459   10.068   -3.218   -4.746   -0.886    4.411    3.218
     240  -34.102  -30.417   28.407   -1.633    5.755   -7.850    2.607  -13.647    7.318    6.734
     241  -27.995  -36.838   16.841    1.534    7.045   -6.356   -2.011   -9.321    2.284    5.219
     242  -27.095  -36.543   22.936   -6.232    6.526   -1.566   -6.531   -2.420   -7.003    1.974
     243  -30.785  -37.355   28.541   -7.332    7.936   -1.723    4.704   -6.614    4.078    2.121
     244  -37.622  -35.042   21.555    4.122    4.025   -9.021    0.241   -4.197   10.147    4.793
     245  -13.750  -43.503   18.935    5.881    9.506   -7.374    0.522   -6.237    7.797    9.359
     246  -19.847  -28.348   28.572   16.737   14.148    0.315    2.606  -14.891    7.817    1.694
     247  -26.782  -36.039   18.657   15.660   12.963    5.392   -0.493  -10.648   13.540    1.979
     248  -15.323  -39.959   24.592   10.073   13.411   -0.605    1.163  -10.002   14.120    5.656
     249  -19.814  -24.875   19.636    7.387   10.620   -1.436    0.962   -8.005    6.906    4.453
     250  -31.139  -35.257   18.838    8.141   13.197    0.180   -5.279   -9.660    6.017    1.179
     251  -42.460  -21.116   18.782    7.792    8.703    4.977   -9.742   -7.758    4.672    4.537
     252  -38.147  -13.393   25.824   15.617    9.125    8.688  -14.077  -14.076   12.373    2.543
     253  -18.425  -28.573   24.550   13.621   15.405    0.948   -1.131  -13.993    6.046    5.376
     254  -36.818  -13.597   22.062    3.833   13.694    8.532  -11.806   -8.114    9.496   -2.430
     255  -26.972  -17.724   30.018    8.587   14.295    6.343   -4.963  -11.809    7.861   -3.848
