#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     138   22.454  -39.754    0.444  -14.796    7.674   -8.939    5.460   -7.425   -7.178    1.014
     139    9.343  -38.979   -5.641   -9.878    1.895  -18.122    0.853   -9.855   -4.920    6.682
     140  -12.166  -30.173  -16.865  -12.691   12.069    1.715    2.049   -6.273  -11.409    4.878
     141    2.424  -42.908   -4.710   -4.800    4.022  -10.181    4.708   -6.560   -9.242   10.124
     142   -2.027  -46.154   -3.113   -8.833    0.373  -12.247    8.195   -6.742  -12.160   -3.008
     143    9.387  -41.543    2.362   -7.640    8.290    1.373    5.914    7.725  -11.005   12.029
     144   -9.643  -58.412    4.045  -16.643    1.437   -3.565    0.815    0.426   -5.663    9.959
     145    4.530  -38.278   -0.858   -8.365   12.269   -5.468    5.806   -2.047  -12.125    8.247
     146   31.691  -34.365    0.673   -2.902    9.159  -12.720    0.086   -7.785   -5.287    4.678
     147   23.758  -27.637   -1.440    5.618   -0.836   -7.122    4.135   -0.548   -7.103    7.573
     148   24.663  -26.279   -1.231   -6.212   10.080  -12.307    3.148    1.449   -8.474   -2.205
     149   33.202  -30.533    2.205   -8.320    2.893   -3.969    2.092   -5.576  -12.196   -1.005
     150   38.284  -28.737   -0.133    7.015   -1.142  -18.157    6.170  -13.778   -6.058    6.971
     151   31.862  -35.710    6.844   -0.376    5.671  -10.396   -6.756  -11.234  -14.771    6.953
     152   32.830  -39.866   13.901    5.025    2.528  -15.450  -12.362   -9.689   -9.435    4.430
     153   52.017  -41.437   15.619   -1.915    1.443  -10.916   -2.901   -5.819  -12.040    7.413
     154   36.623  -47.084   13.984   -7.761   -5.007   -8.532    2.863   -5.655   -3.767    4.752
     155   34.884  -47.153   13.667    1.931   -1.470   -9.170   -5.001  -14.777   -4.834    1.803
     156   45.973  -47.144   18.611   -3.013  -10.750   -3.823   -7.744  -15.049   -5.334    7.601
     157   54.039  -39.077   18.388    0.851   -8.479   -8.129    1.077   -9.830   -9.529    6.128
     158   41.550  -50.416   15.761   -5.001   -7.224  -13.133    1.839   -9.415   -2.939    3.838
     159   31.164  -38.626    8.596   -6.933   -3.948  -15.934   -3.537  -15.410   -5.973    1.371
     160   33.805  -30.723    3.829   -5.246   -3.562   -3.803    2.631  -15.027   -4.167   11.127
     161   20.886  -34.190   -4.442   -5.834    4.883   -9.012   -0.848  -11.552   -6.606   12.906
     162   30.947  -42.031    9.358   -8.060   -0.480   -1.890   -7.749  -17.910   -9.847    3.999
     163   18.234  -45.550    3.761   -1.010   -1.518   -9.271    0.823   -8.926   -2.582   12.113
     164   15.070  -43.325    6.239   -5.473   -4.671   -1.017   -3.580   -9.568   -6.916   -0.462
     165   14.197  -50.708    6.721    0.697    3.157   -8.059   -0.146   -9.052   -5.224    1.985
     166   30.387  -41.604    9.037    2.277   -2.515   -6.779   -6.633  -13.682  -12.082    7.176
     167   11.165  -53.862    5.949   -1.909  -13.864   -9.562    5.365   -8.229   -4.427    3.123
     168    7.267  -45.297   -0.124   -5.918   -2.745   -5.535   11.970   -9.151   -9.760    5.646
     169   33.813  -35.560    6.553   -0.533    3.752  -10.859   -4.400  -10.210   -3.908   17.685
     170   41.457  -44.435   12.795   -3.532    9.324   -7.694   -5.282  -14.758   -8.968   14.927
     171   50.852  -45.244   16.700    0.308   -9.012   -7.810    0.337  -13.888   -8.752   10.243
     172   50.201  -38.491   12.901    8.171    5.400  -11.645   -3.617   -9.941  -10.208    6.461
     173   40.535  -20.802   -3.620    4.244    0.716  -11.052    3.407  -11.596  -10.864    5.759
     174    3.990  -36.053   -4.519   -0.412   -0.922   -2.257    5.415   -8.195   -7.053    9.440
     175   15.405  -48.896    5.259   -3.766    3.045   -4.779    0.722   -4.668   -5.953   -0.756
     176   28.549  -57.268   17.658   -4.333   -0.009   -8.381    5.541    0.713   -8.959    4.452
     177   22.902  -53.398   11.315   -5.755   -3.855  -13.814    1.798  -10.990   -1.956    9.409
     178   27.340  -43.351    5.484    6.866   -4.630  -15.121    1.490  -14.944   -4.743    6.134
     179   24.563  -38.635    7.371    3.084   -2.425   -7.392   -4.359  -10.689   -7.480    7.284
     180   14.885  -47.560    8.262  -10.346    6.564   -6.287    0.662   -5.487  -10.246    3.872
     181   17.827  -48.102    8.433   -4.040   -3.269   -6.545    3.078   -7.172   -8.205    3.718
     182   28.977  -45.540    9.599   -1.790   11.005   -5.733   -0.538   -6.593  -12.368    4.593
     183   20.282  -46.667    7.070    5.154    3.265   -5.983   -2.459   -5.095   -4.547   -1.406
     184   32.025  -42.576    2.587   -1.159   16.305  -20.703    0.607   -8.491   -2.605    2.807
     185   28.434  -45.531    7.183    1.006    4.984   -9.041    5.738   -6.304   -6.503    7.628
     186   20.934  -60.262   12.158    1.386    7.308   -6.303   -0.261   -1.190   -7.246    7.425
     187   12.977  -74.422   19.073   -7.223   -2.082   -9.882    3.577   -1.126   -5.528   -5.558
     188   24.653  -53.465   14.836  -12.829   10.797   -3.560   -6.730   -4.100   -5.738    4.501
     189    2.739  -50.172    0.157   -3.489    1.626   -6.071    6.938  -10.421  -10.195   -0.532
     190   13.398  -36.417    7.289    5.197    4.592   -2.158   -9.245  -11.967  -13.436   -3.481
     191   19.481  -48.424    9.800    5.644   -1.093   -3.204   -4.448   -8.723   -9.829   -4.242
     192   29.388  -42.458   14.428    9.023   -0.236   -0.148   -6.460   -2.672  -10.035    0.941
     193   24.934  -46.801   12.219   -0.880    2.503   -7.934   -2.725  -11.297   -5.515   -0.825
     194   44.809  -37.839    9.147   -0.577    2.368  -17.513   -0.869  -12.357   -6.653    1.732
     195   34.063  -41.382   13.158   -4.674    3.407   -0.751    4.171   -2.142  -10.912    8.004
     196   24.052  -46.915   17.635    1.562   -6.454   -1.795   -4.963   -7.028  -11.572    5.489
     197   26.558  -54.689   14.050   -1.022    6.832  -12.954    1.963   -0.206  -11.595    6.607
     198   38.616  -48.519   19.806    8.380    2.193   -4.829   -1.183    3.916  -11.156    2.765
