#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     209   28.774  -62.913  -39.380   18.495    6.472  -11.624    2.682    6.292    2.155   -5.132
     210   30.885  -55.277  -38.953    7.010    8.070  -14.354    3.002   -4.281   -5.721  -11.881
     211   38.475  -63.485  -37.406    4.994    2.741   -8.268    9.647    3.179    3.349   -8.357
     212   27.903  -60.897  -39.081   10.025    8.694    1.072    3.413    2.294    8.963    7.231
     213   31.903  -60.459  -32.200   20.191    7.950   -0.941   -0.381    3.334    2.203   -4.526
     214   32.490  -61.208  -27.164    8.701   13.707  -11.038    2.894   -9.213    0.018    4.974
     215   24.210  -52.696  -43.925    2.540    9.426   -1.006    6.385    2.543    7.305   -5.402
     216   16.905  -49.382  -43.115    3.272   13.984   -0.393   10.203   -2.267    9.996   -7.383
     217   39.126  -44.060  -24.600   13.325   20.994   -4.458   -0.304    8.038    8.401  -12.787
     218   36.740  -55.155  -32.032   11.667   13.230   -9.016    3.069    3.621    6.255   -3.829
     219   34.849  -42.243  -32.670   12.236   15.755   -6.564    1.507    9.571    6.343   -8.941
     220   46.486  -37.441  -36.167    7.617   14.406   -2.089    6.105   -2.400    8.671   -6.066
     221   30.247  -49.381  -38.855   -2.463   11.870   -6.107    7.899   -6.455    2.880   -4.296
     222   48.090  -48.418  -26.043   10.212   11.556   -3.724    5.686   -1.641    1.881   -8.580
     223   36.734  -46.942  -34.234    2.274    9.478   -5.033    6.589   -1.401    1.085   -4.833
     224   42.642  -38.514  -32.420    2.349   12.657    0.994    7.009    1.457    3.295   -4.479
     225   33.900  -43.517  -33.409   -0.601   10.909   -8.419    6.939   -2.496   -1.479   -3.408
     226   42.893  -36.424  -23.419    1.965   14.720   -2.250    7.739   -0.597   -4.642    4.942
     227   36.251  -37.920  -32.090   -2.851   20.462   -1.812   10.116   -0.373    1.117    0.601
     228   45.831  -41.041  -25.831   -1.167   25.434   -5.152   16.786  -11.040   -1.435   -3.321
     229   41.283  -30.299  -26.467    3.131   25.559    0.230   14.483    7.694    4.032   -5.895
     230   30.655  -32.599  -30.930   -0.332   20.062    2.218   11.699    7.176   -2.067    3.608
     231   28.340  -44.304  -35.339    0.705   16.385   -2.244   15.680    4.037   -3.542    5.612
     232   45.663  -38.509  -24.380    2.279   24.981    4.414   11.859    0.146    3.274    0.775
     233   32.258  -36.743  -31.316    1.090   23.142   -0.462    8.384   -5.470   -1.139    0.770
     234   40.349  -37.881  -33.717    0.488   18.449    0.207    6.962   -6.795   -2.781   -2.858
     235   38.269  -50.556  -37.839   -0.245   13.536    0.700   11.898   -0.804    5.372   -1.261
     236   52.161  -54.039  -24.590   -2.289   15.566    1.595   17.180   -3.481    5.892    1.691
     237   44.427  -35.823  -23.858    1.071   15.957    3.496    7.487   -4.298   -1.059    4.602
     238   46.749  -49.194  -21.558    2.666   24.031   -4.562   10.551   -9.444    2.183    7.890
     239   48.248  -57.929  -31.520   -7.748    8.910    3.711   12.720   -5.062    8.715   10.029
     240   33.411  -49.046  -37.106   -3.187   12.814   -5.193    8.143    0.246    6.610   -1.008
     241   38.782  -34.161  -27.805   -2.040   23.686    3.121    5.965    5.636   15.662    1.840
     242   53.767  -35.395  -26.916   -9.395   20.906   -3.665   13.064   -3.227    5.342   -5.263
     243   31.462  -23.740  -39.364   -8.900   10.781   -0.592    7.433   -0.820   -4.027   -1.304
     244   36.245  -31.140  -31.566  -11.282   16.397   -6.721    9.326   -7.118   -1.792    1.146
     245   39.194  -41.442  -36.868   -9.431   14.888  -10.121    6.922   -6.390    9.068   -9.738
     246   34.028  -45.468  -37.069   -7.271   17.707   -8.903    8.031   -6.428    2.609    1.482
     247   22.193  -50.943  -51.343    0.294   12.881   -1.441    5.386    4.791    8.259   -0.140
     248   43.275  -62.022  -35.766  -12.359    9.619    1.934    9.925   -2.626   16.700   -0.545
     249   35.679  -37.603  -35.605   -8.663   12.186   -2.785    6.307    0.338    1.809   -3.712
     250   26.543  -31.010  -48.979  -21.770   16.872   -0.939   15.915    1.788    4.746    1.000
     251   16.538  -26.566  -55.689  -13.756   11.612    1.801    8.491    2.220    4.450   -0.208
     252   31.084  -18.685  -42.880  -16.720    6.618   -4.638    7.233   -1.955   -2.962   -7.613
     253   20.898  -31.042  -44.339  -14.724   12.296   -4.149    5.860   -3.605    3.669   -9.818
     254   26.168  -29.259  -40.114  -16.774   10.917   -8.788    7.491   -7.507    2.166    5.577
     255   20.997  -22.642  -51.800  -15.769    5.859    0.751   14.945    1.604    4.406    6.339
     256   11.732  -42.056  -49.327  -10.580    1.264   -9.802   12.372   10.902    6.599   10.535
     257   26.791  -37.514  -46.709  -10.646   -1.290   -8.834   14.544    7.080   -0.223   10.464
     258   22.147  -34.141  -41.757   -5.092   -0.076   -8.579    9.556    1.644   -3.492    6.985
     259    8.017  -28.466  -46.946   -9.175    8.420    0.830    6.615    5.388    3.145    8.694
     260   11.124  -40.360  -49.086   -4.401    8.079   -8.124    2.501    6.027   15.138    0.992
     261    9.489  -20.236  -45.374   -7.396   18.358   -6.795   12.273    9.250    3.965   13.667
     262   23.290   -8.594  -33.568  -13.362   18.799    2.502   11.964    6.652   -4.046   10.501
     263   26.942  -15.635  -40.012  -15.336   15.847    0.422   10.841    9.051    1.900    0.668
     264   38.891  -15.512  -42.050  -15.947   14.083    7.706   14.242    7.010   -1.794    2.851
     265   52.271  -13.480  -29.918  -20.985   17.279    4.225   14.701    1.138   -3.790    8.515
     266   54.305  -19.748  -26.678  -20.535   15.350   10.969   14.325    0.767    0.582   10.338
     267   52.447  -23.432  -23.319   -0.340    8.592    6.040   10.818    3.475   -7.991    7.615
     268   57.043   -9.980  -28.569   -3.716   16.571    8.370   12.645   12.220   -4.650   13.792
     269   59.324   -9.157  -28.340  -20.149   21.848    3.342   13.621    4.189    8.263    6.808
     270   55.823  -16.291  -27.503  -23.102   17.199    4.602   18.398  -10.760   -2.508   13.113
     271   55.643  -16.659  -26.444  -14.232   22.612    3.389   14.813   -4.733   -2.142    7.960
     272   61.168  -16.010  -25.806  -17.331   19.910    1.302   17.328   -4.531    1.841    3.875
     273   44.139  -20.660  -33.068  -10.792   10.222   -0.169   16.970   -5.666   -6.172    4.758
     274   16.900  -30.242  -47.924  -11.892    5.199    2.714    6.567   -6.882   -3.834    3.933
     275   14.896  -22.125  -43.705  -11.278   10.167    2.400    6.031   -4.126   -9.849   12.716
     276   40.231  -15.523  -31.189  -14.947   10.449    8.474    4.635    0.763   -2.244    1.258
     277   49.669  -28.315  -33.133  -16.653   14.518    4.097    9.643   -8.121    8.547   -1.607
     278   21.502   -1.542  -39.035  -26.318   16.498    8.887    6.381    7.168   -0.296    5.346
     279   39.939   -6.504  -37.185  -22.517   15.058    5.973   14.035   -5.752   -4.207    3.583
     280   52.731  -18.002  -30.266  -24.613   10.377   10.035   19.852  -14.421   -1.489    2.062
     281   31.599  -21.265  -40.919  -18.616   12.299    6.654    7.042    4.808    9.712   -0.216
     282   48.005  -32.105  -33.588  -20.384    8.009    6.620   15.586   -2.187    2.669    6.837
     283   49.321  -42.627  -39.349  -18.658    3.108   10.817   13.243   -4.427   10.257    2.706
     284   37.547  -44.506  -44.164  -10.851    8.755    3.556   10.952   -5.777    9.034    9.019
     285   45.634  -54.804  -42.648  -10.016   -0.742   10.845    8.500   -6.955    9.019    0.432
     286   47.907  -64.231  -37.061   -8.097    0.868    8.155   14.836   -1.630   16.168   18.024
     287   53.590  -30.650  -29.895   -7.524   13.093   10.078    7.313    0.464    7.528    4.583
     288   43.515  -40.754  -38.910  -13.040    9.756    8.912    9.854   -3.590   10.791    4.176
     289   42.998  -42.481  -38.094  -18.670    9.436    4.761    8.773   -2.717    6.812    4.509
     290   38.703  -24.197  -30.634  -16.469    6.100    1.212    8.757    0.474   -9.817    4.842
     291   46.859  -43.692  -27.186  -13.962    6.109   -1.772    4.930    3.389    5.786    6.008
     292   33.574  -41.664  -41.093  -10.841   -0.105    4.939    7.419   -0.344   -0.139    4.269
     293   36.452  -33.161  -42.211  -17.300    4.416    1.812   11.275   -4.681    3.484    2.102
